date,site,station,color,treatment,dispersal.distance
11/24/21,STR 0-120,1,Pink,2% amides,1.05
11/24/21,STR 0-120,1,Pink,2% amides,1.45
11/24/21,STR 0-120,1,Pink,2% amides,1.33
11/24/21,STR 0-120,2,Pink,2% amides,1.94
11/24/21,STR 0-120,2,Pink,2% amides,3.1
11/24/21,STR 0-120,2,Pink,2% amides,3.96
11/24/21,STR 0-120,4,Pink,2% amides,0.4
11/24/21,STR 0-120,5,Green,2% amides,0.95
11/24/21,STR 0-120,6,Green,2% amides,1.8
11/24/21,STR 0-120,6,Green,2% amides,2.95
11/24/21,STR 0-120,7,Green,2% amides,1.24
11/24/21,STR 0-120,8,Green,2% amides,2.12
11/24/21,STR 0-120,9,Green,2% amides,1.4
11/24/21,STR 0-120,10,Green,2% amides,2.5
11/24/21,STR 0-120,10,Green,2% amides,0.79
11/24/21,STR 0-120,11,Green,2% amides,2.27
11/24/21,STR 0-120,11,Green,2% amides,2.37
11/24/21,STR 0-120,12,Green,2% amides,1.88
11/24/21,STR 0-120,12,Green,2% amides,1.6
11/24/21,STR 0-120,12,Green,2% amides,1.6
11/24/21,STR 0-120,12,Green,2% amides,2.4
11/24/21,STR 0-120,1,Green,Ethanol,1.05
11/24/21,STR 0-120,1,Green,Ethanol,1.45
11/24/21,STR 0-120,1,Green,Ethanol,1.33
11/24/21,STR 0-120,2,Green,Ethanol,1.94
11/24/21,STR 0-120,2,Green,Ethanol,1.94
11/24/21,STR 0-120,2,Green,Ethanol,1.94
11/24/21,STR 0-120,2,Green,Ethanol,1.94
11/24/21,STR 0-120,2,Green,Ethanol,1.94
11/24/21,STR 0-120,2,Green,Ethanol,1.94
11/24/21,STR 0-120,2,Green,Ethanol,3.1
11/24/21,STR 0-120,2,Green,Ethanol,3.1
11/24/21,STR 0-120,2,Green,Ethanol,3.96
11/24/21,STR 0-120,3,Green,Ethanol,0.68
11/24/21,STR 0-120,3,Green,Ethanol,0.68
11/24/21,STR 0-120,4,Green,Ethanol,0.4
11/24/21,STR 0-120,4,Green,Ethanol,0.4
11/24/21,STR 0-120,5,Pink,Ethanol,0.95
11/24/21,STR 0-120,5,Pink,Ethanol,0.95
11/24/21,STR 0-120,6,Pink,Ethanol,1.8
11/24/21,STR 0-120,6,Pink,Ethanol,1.8
11/24/21,STR 0-120,6,Pink,Ethanol,2.95
11/24/21,STR 0-120,7,Pink,Ethanol,1.24
11/24/21,STR 0-120,8,Pink,Ethanol,2.12
11/24/21,STR 0-120,8,Pink,Ethanol,2.12
11/24/21,STR 0-120,8,Pink,Ethanol,2.12
11/24/21,STR 0-120,9,Pink,Ethanol,1.4
11/24/21,STR 0-120,9,Pink,Ethanol,1.4
11/24/21,STR 0-120,10,Pink,Ethanol,2.5
11/24/21,STR 0-120,10,Pink,Ethanol,2.5
11/24/21,STR 0-120,10,Pink,Ethanol,2.5
11/24/21,STR 0-120,10,Pink,Ethanol,0.79
11/24/21,STR 0-120,11,Pink,Ethanol,2.27
11/24/21,STR 0-120,11,Pink,Ethanol,2.37
11/24/21,STR 0-120,12,Pink,Ethanol,1.88
11/24/21,STR 0-120,12,Pink,Ethanol,1.88
11/24/21,STR 0-120,12,Pink,Ethanol,1.88
11/24/21,STR 0-120,12,Pink,Ethanol,1.88
11/24/21,STR 0-120,12,Pink,Ethanol,1.6
11/24/21,STR 0-120,12,Pink,Ethanol,1.6
11/24/21,STR 0-120,12,Pink,Ethanol,1.6
11/24/21,STR 0-120,12,Pink,Ethanol,2.4